Polarity,Word,Valence_Mean,Arousal_Mean,subTF,log_subTF,NOS,Familiarity,NOM,Valence_SD,Valence_N,Arousal_SD,Arousal_N
negative,仇恨,-2.33,2.35,253,2.404833716619938,13,5.363636364,1,0.56,24,1.29,26
negative,倒霉,-1.96,2.23,595,2.7752462597402365,25,4.80952381,1,0.77,26,1.21,26
negative,凶狠,-1.8,3.04,52,1.724275869600789,13,6.045454545,1,1.19,25,1.04,26
negative,卑鄙,-2.3,2.47,458,2.661812685537261,21,5.857142857,2,0.78,27,1.18,17
negative,可怕,-1.74,3.29,2003,3.301897717195208,13,6.909090909,1,0.75,23,0.81,24
negative,可恶,-1.84,3.0,443,2.6473829701146196,15,5.095238095,1,0.75,25,0.93,22
negative,失败,-1.71,2.75,1573,3.1970047280230456,13,6.545454545,2,0.75,24,1.08,28
negative,崩溃,-2.04,2.62,690,2.8394780473741985,23,6.590909091,1,0.84,25,1.33,26
negative,怒火,-1.9,2.94,166,2.2227164711475833,13,5.5,1,1.33,31,0.94,18
negative,急躁,-1.46,3.04,54,1.7403626894942439,29,6.545454545,2,0.66,24,0.86,24
negative,恐惧,-1.92,2.93,990,2.9960736544852753,21,6.227272727,1,0.93,24,1.33,27
negative,悲哀,-1.92,2.0,278,2.4456042032735974,21,6.0,1,0.72,24,1.23,26
negative,悲观,-1.81,2.64,100,2.0043213737826426,18,6.136363636,1,0.85,26,1.09,22
negative,惊慌,-1.52,2.87,195,2.292256071356476,23,5.136363636,1,1.08,25,1.06,23
negative,慌张,-1.52,2.84,80,1.9084850188786497,19,6.454545455,1,0.64,27,1.14,25
negative,欺骗,-2.0,2.96,726,2.8615344108590377,24,5.681818182,1,0.76,25,1.07,23
negative,焦急,-1.52,2.86,51,1.7160033436347992,21,5.714285714,1,0.65,25,0.94,22
negative,狂妄,-1.46,2.76,37,1.5797835966168101,13,5.909090909,1,1.3,26,1.2,25
negative,狠心,-1.74,2.46,35,1.5563025007672873,13,5.571428571,2,0.92,23,1.21,26
negative,狡猾,-1.62,2.33,334,2.525044807036845,21,6.0,1,1.06,26,0.91,21
negative,糟糕,-1.75,2.61,2805,3.448087666692341,33,5.523809524,1,1.26,24,1.09,31
negative,绝望,-2.31,3.32,633,2.802089257881733,20,6.0,1,0.9,32,0.95,19
negative,讽刺,-1.69,2.95,589,2.7708520116421442,14,5.409090909,1,0.97,26,0.86,21
negative,说谎,-1.8,2.38,1206,3.081707270097349,20,6.545454545,1,0.87,25,1.17,24
positive,出色,2.16,3.04,1277,3.1065308538223815,11,5.65,1,0.75,25,1.0,26
positive,刻苦,1.92,2.5,60,1.7853298350107671,16,6.136363636,2,0.69,26,0.95,20
positive,勤劳,2.26,2.25,44,1.6532125137753437,20,5.904761905,1,0.92,23,1.29,24
positive,可靠,2.08,2.22,524,2.720159303405957,20,6.181818182,2,0.69,26,1.09,23
positive,坚定,2.11,2.89,253,2.404833716619938,15,6.045454545,2,0.75,27,0.58,27
positive,幸福,2.29,3.0,1203,3.0806264869218056,21,5.727272727,2,0.62,24,0.83,24
positive,感动,1.92,2.96,482,2.683947130751512,19,6.181818182,2,0.84,26,1.02,23
positive,杰出,2.38,3.04,256,2.4099331233312946,13,5.904761905,1,0.58,24,0.79,25
positive,欢笑,2.17,2.79,161,2.2095150145426308,16,5.0,1,0.76,24,1.18,24
positive,活泼,1.96,3.0,131,2.12057393120585,17,5.272727273,1,0.73,25,0.92,27
positive,满意,2.11,2.96,1063,3.0269416279590295,26,6.428571429,1,0.69,28,0.91,24
positive,热情,1.93,2.88,763,2.8830933585756897,21,6.363636364,2,0.68,27,0.71,26
positive,礼貌,2.0,2.38,723,2.859738566197147,19,6.090909091,1,0.87,25,1.06,26
positive,称赞,2.19,2.96,148,2.173186268412274,26,5.636363636,1,0.56,27,1.04,26
positive,纯洁,2.08,2.22,231,2.3654879848909,16,5.666666667,2,0.74,26,1.41,23
positive,美德,2.22,2.26,71,1.8573324964312685,24,5.545454545,1,0.85,23,1.02,27
positive,聪明,2.0,2.92,2503,3.398634324538392,23,6.318181818,1,0.73,27,1.02,26
positive,荣誉,2.31,2.95,487,2.6884198220027105,22,6.318181818,1,0.74,32,1.13,19
positive,表扬,2.16,3.33,114,2.060697840353612,14,5.954545455,1,0.69,25,0.68,27
positive,诚实,2.31,2.35,724,2.8603380065709936,16,5.904761905,1,0.68,26,1.07,23
positive,赞美,2.08,3.11,294,2.469822015978163,25,5.363636364,1,0.72,24,0.8,27
positive,踏实,2.08,1.76,33,1.5314789170422551,23,5.545454545,2,0.48,26,1.13,25
positive,进步,2.27,2.71,522,2.718501688867274,14,5.952380952,2,0.63,22,0.9,28
positive,鼓励,2.48,3.17,531,2.7259116322950483,20,6.590909091,1,0.51,25,0.83,23
